RUN	computerdatabase.BasicSimulation	basicsimulation	1598483919385	teste	3.3.1
USER	Scenario Name	1	START	1598483920861	1598483920861
REQUEST	1		request_1	1598483920879	1598483921994	OK	 
REQUEST	1		request_1 Redirect 1	1598483922010	1598483923119	OK	 
REQUEST	1		request_1 Redirect 2	1598483923120	1598483923424	OK	 
REQUEST	1		request_2	1598483930450	1598483930707	OK	 
REQUEST	1		request_2 Redirect 1	1598483930708	1598483930954	OK	 
REQUEST	1		request_3	1598483932949	1598483933167	OK	 
REQUEST	1		request_3 Redirect 1	1598483933168	1598483933460	OK	 
REQUEST	1		request_4 Redirect 1	1598483936471	1598483936694	OK	 
REQUEST	1		request_4 Redirect 2	1598483936696	1598483936922	OK	 
REQUEST	1		request_5	1598483938919	1598483939145	OK	 
REQUEST	1		request_5 Redirect 1	1598483939146	1598483939371	OK	 
REQUEST	1		request_6	1598483940041	1598483940264	OK	 
REQUEST	1		request_6 Redirect 1	1598483940265	1598483940524	OK	 
REQUEST	1		request_7	1598483941150	1598483941409	OK	 
REQUEST	1		request_7 Redirect 1	1598483941411	1598483941688	OK	 
REQUEST	1		request_8	1598483942429	1598483942674	OK	 
REQUEST	1		request_8 Redirect 1	1598483942675	1598483942900	OK	 
REQUEST	1		request_9	1598483947899	1598483948205	OK	 
REQUEST	1		request_9 Redirect 1	1598483948207	1598483948431	OK	 
REQUEST	1		request_10	1598483949443	1598483949741	OK	 
REQUEST	1		request_10 Redirect 1	1598483949743	1598483950048	OK	 
REQUEST	1		request_10 Redirect 2	1598483950057	1598483950355	OK	 
USER	Scenario Name	1	END	1598483920861	1598483950360
