RUN	eden.PerformanceTest	performancetest	1598487714456	 	3.3.1
USER	Eden - Fluxo Principal	1	START	1598487715898	1598487715898
REQUEST	1		Login!	1598487715920	1598487716380	OK	 
REQUEST	1		Buscar produto!	1598487716402	1598487718012	OK	 
USER	Eden - Fluxo Principal	1	END	1598487715898	1598487718015
USER	Eden - Fluxo Principal	2	START	1598487721915	1598487721915
REQUEST	2		Login!	1598487721915	1598487722415	OK	 
REQUEST	2		Buscar produto!	1598487722417	1598487722774	OK	 
USER	Eden - Fluxo Principal	2	END	1598487721915	1598487722775
USER	Eden - Fluxo Principal	3	START	1598487727915	1598487727915
REQUEST	3		Login!	1598487727915	1598487728457	OK	 
REQUEST	3		Buscar produto!	1598487728458	1598487728866	OK	 
USER	Eden - Fluxo Principal	3	END	1598487727915	1598487728867
USER	Eden - Fluxo Principal	4	START	1598487733916	1598487733916
REQUEST	4		Login!	1598487733916	1598487734396	OK	 
REQUEST	4		Buscar produto!	1598487734397	1598487734806	OK	 
USER	Eden - Fluxo Principal	4	END	1598487733916	1598487734807
USER	Eden - Fluxo Principal	5	START	1598487739914	1598487739914
REQUEST	5		Login!	1598487739915	1598487741074	OK	 
REQUEST	5		Buscar produto!	1598487741076	1598487741438	OK	 
USER	Eden - Fluxo Principal	5	END	1598487739914	1598487741438
USER	Eden - Fluxo Principal	6	START	1598487745915	1598487745915
REQUEST	6		Login!	1598487745915	1598487746462	OK	 
REQUEST	6		Buscar produto!	1598487746463	1598487747236	OK	 
USER	Eden - Fluxo Principal	6	END	1598487745915	1598487747237
USER	Eden - Fluxo Principal	7	START	1598487751915	1598487751915
REQUEST	7		Login!	1598487751916	1598487754059	OK	 
REQUEST	7		Buscar produto!	1598487754060	1598487754466	OK	 
USER	Eden - Fluxo Principal	7	END	1598487751915	1598487754467
USER	Eden - Fluxo Principal	8	START	1598487757906	1598487757906
REQUEST	8		Login!	1598487757906	1598487758357	OK	 
REQUEST	8		Buscar produto!	1598487758358	1598487758720	OK	 
USER	Eden - Fluxo Principal	8	END	1598487757906	1598487758721
USER	Eden - Fluxo Principal	9	START	1598487763915	1598487763915
REQUEST	9		Login!	1598487763915	1598487764604	OK	 
USER	Eden - Fluxo Principal	10	START	1598487769914	1598487769914
REQUEST	10		Login!	1598487769915	1598487770279	OK	 
REQUEST	10		Buscar produto!	1598487770281	1598487770618	OK	 
USER	Eden - Fluxo Principal	10	END	1598487769914	1598487770619
REQUEST	9		Buscar produto!	1598487764605	1598487777097	OK	 
USER	Eden - Fluxo Principal	9	END	1598487763915	1598487777097
