RUN	computerdatabase.PerformanceTest	performancetest	1598496217286	 	3.3.1
USER	fluxo principal	1	START	1598496218793	1598496218793
REQUEST	1		Login!	1598496218824	1598496219258	OK	 
REQUEST	1		Buscar produto!	1598496219285	1598496219664	OK	 
USER	fluxo principal	2	START	1598496219806	1598496219806
REQUEST	1		Finalizar Compra!	1598496219665	1598496219986	OK	 
USER	fluxo principal	1	END	1598496218793	1598496219989
REQUEST	2		Login!	1598496219807	1598496220173	OK	 
REQUEST	2		Buscar produto!	1598496220175	1598496220586	OK	 
USER	fluxo principal	3	START	1598496220804	1598496220804
REQUEST	2		Finalizar Compra!	1598496220587	1598496220929	OK	 
USER	fluxo principal	2	END	1598496219806	1598496220930
REQUEST	3		Login!	1598496220804	1598496221164	OK	 
REQUEST	3		Buscar produto!	1598496221166	1598496221507	OK	 
REQUEST	3		Finalizar Compra!	1598496221509	1598496221712	OK	 
USER	fluxo principal	3	END	1598496220804	1598496221713
USER	fluxo principal	4	START	1598496221785	1598496221785
REQUEST	4		Login!	1598496221786	1598496222224	OK	 
REQUEST	4		Buscar produto!	1598496222226	1598496222634	OK	 
USER	fluxo principal	5	START	1598496222796	1598496222796
REQUEST	4		Finalizar Compra!	1598496222635	1598496222940	OK	 
USER	fluxo principal	4	END	1598496221785	1598496222941
REQUEST	5		Login!	1598496222797	1598496223248	OK	 
REQUEST	5		Buscar produto!	1598496223250	1598496223658	OK	 
USER	fluxo principal	6	START	1598496223796	1598496223796
REQUEST	5		Finalizar Compra!	1598496223659	1598496224001	OK	 
USER	fluxo principal	5	END	1598496222796	1598496224001
REQUEST	6		Login!	1598496223796	1598496224142	OK	 
REQUEST	6		Buscar produto!	1598496224144	1598496224579	OK	 
USER	fluxo principal	7	START	1598496224795	1598496224795
REQUEST	6		Finalizar Compra!	1598496224580	1598496224914	OK	 
USER	fluxo principal	6	END	1598496223796	1598496224914
REQUEST	7		Login!	1598496224796	1598496225195	OK	 
REQUEST	7		Buscar produto!	1598496225196	1598496225603	OK	 
USER	fluxo principal	8	START	1598496225796	1598496225796
REQUEST	7		Finalizar Compra!	1598496225605	1598496225918	OK	 
USER	fluxo principal	7	END	1598496224795	1598496225919
REQUEST	8		Login!	1598496225796	1598496226217	OK	 
REQUEST	8		Buscar produto!	1598496226218	1598496226535	OK	 
USER	fluxo principal	9	START	1598496226796	1598496226796
REQUEST	8		Finalizar Compra!	1598496226536	1598496226843	OK	 
USER	fluxo principal	8	END	1598496225796	1598496226844
REQUEST	9		Login!	1598496226796	1598496227131	OK	 
REQUEST	9		Buscar produto!	1598496227132	1598496227549	OK	 
USER	fluxo principal	10	START	1598496227796	1598496227796
REQUEST	9		Finalizar Compra!	1598496227550	1598496227891	OK	 
USER	fluxo principal	9	END	1598496226796	1598496227893
REQUEST	10		Login!	1598496227797	1598496228164	OK	 
REQUEST	10		Buscar produto!	1598496228165	1598496228573	OK	 
USER	fluxo principal	11	START	1598496228785	1598496228785
REQUEST	10		Finalizar Compra!	1598496228574	1598496228887	OK	 
USER	fluxo principal	10	END	1598496227796	1598496228888
