RUN	computerdatabase.PerformanceTest	performancetest	1598496341988	testes	3.3.1
USER	fluxo principal	1	START	1598496343472	1598496343472
REQUEST	1		Login!	1598496343498	1598496343881	OK	 
REQUEST	1		Buscar produto!	1598496343906	1598496344389	OK	 
USER	fluxo principal	2	START	1598496344477	1598496344477
REQUEST	1		Finalizar Compra!	1598496344390	1598496344799	OK	 
USER	fluxo principal	1	END	1598496343472	1598496344803
REQUEST	2		Login!	1598496344477	1598496345004	OK	 
REQUEST	2		Buscar produto!	1598496345006	1598496345413	OK	 
USER	fluxo principal	3	START	1598496345476	1598496345476
REQUEST	2		Finalizar Compra!	1598496345414	1598496345823	OK	 
REQUEST	3		Login!	1598496345477	1598496345823	OK	 
USER	fluxo principal	2	END	1598496344477	1598496345824
REQUEST	3		Buscar produto!	1598496345824	1598496346232	OK	 
USER	fluxo principal	4	START	1598496346478	1598496346478
REQUEST	3		Finalizar Compra!	1598496346234	1598496346541	OK	 
USER	fluxo principal	3	END	1598496345476	1598496346542
REQUEST	4		Login!	1598496346478	1598496346949	OK	 
REQUEST	4		Buscar produto!	1598496346951	1598496347359	OK	 
USER	fluxo principal	5	START	1598496347476	1598496347476
REQUEST	4		Finalizar Compra!	1598496347360	1598496347768	OK	 
USER	fluxo principal	4	END	1598496346478	1598496347769
REQUEST	5		Login!	1598496347477	1598496347819	OK	 
USER	fluxo principal	6	START	1598496348476	1598496348476
REQUEST	5		Buscar produto!	1598496347821	1598496348519	OK	 
REQUEST	5		Finalizar Compra!	1598496348521	1598496348895	OK	 
REQUEST	6		Login!	1598496348477	1598496348895	OK	 
USER	fluxo principal	5	END	1598496347476	1598496348896
REQUEST	6		Buscar produto!	1598496348896	1598496349304	OK	 
USER	fluxo principal	7	START	1598496349475	1598496349475
REQUEST	6		Finalizar Compra!	1598496349305	1598496349629	OK	 
USER	fluxo principal	6	END	1598496348476	1598496349630
REQUEST	7		Login!	1598496349476	1598496350021	OK	 
REQUEST	7		Buscar produto!	1598496350022	1598496350344	OK	 
USER	fluxo principal	8	START	1598496350477	1598496350477
REQUEST	7		Finalizar Compra!	1598496350345	1598496350673	OK	 
USER	fluxo principal	7	END	1598496349475	1598496350674
